National Mortality Rate by Cause Listed by State and Reporting Date Report    Sorted by State
Report Generated: 12/14/2021     16:53:38
                               WEEK          TOTAL         NATURAL      C19 MULTIPLE    C19 UNDERLYING
STATE                          ENDING        DEATHS        CAUSES          CAUSES           CAUSE
-----------------------------------------------------------------------------------------------------------
California                     07/31/21      5480           5022            286             256
California                     08/07/21      5695           5239            429             399
California                     08/14/21      5996           5616            655             611
California                     08/21/21      6243           5863            829             765
California                     08/28/21      6294           5949            978             919
California                     09/04/21      6386           6024           1053             990
California                     09/11/21      6545           6152           1107            1035
California                     09/18/21      6228           5878            961             905
California                     09/25/21      6261           5921            890             828
California                     10/02/21      6004           5638            786             737
California                     10/09/21      5872           5440            678             635
California                     10/16/21      5655           5053            518             488
California                     10/23/21      5535           4318            494             452
California                     10/30/21      4472           3096            399             367
California                     11/06/21      3070           1165            271             248
Colorado                       01/04/20       854            758              0               0
Colorado                       01/11/20       872            773              0               0
Colorado                       01/18/20       848            752              0               0
Colorado                       01/25/20       853            751              0               0
Colorado                       02/01/20       793            707              0               0
Colorado                       02/08/20       847            755              0               0
Colorado                       02/15/20       807            704              0               0
Colorado                       02/22/20       881            759              0               0
Colorado                       02/29/20       842            742              0               0
Colorado                       03/07/20       821            718              0               0
Colorado                       03/14/20       822            715              0               0
Colorado                       03/21/20       891            781             17              12
Colorado                       03/28/20       860            779             47              45
Colorado                       04/04/20       967            890            129             124
Colorado                       04/11/20      1096            987            214             202
Colorado                       04/18/20      1106           1003            218             197
Colorado                       04/25/20      1067            949            224             211
Colorado                       05/02/20       999            890            189             174
Colorado                       05/09/20       906            784            139             127
Colorado                       05/16/20       887            775             97              81
Colorado                       05/23/20       847            747             93              79
Colorado                       05/30/20       834            724             75              66
Colorado                       06/06/20       820            706             63              49
Colorado                       06/13/20       816            707             59              48
Colorado                       06/20/20       863            747             38              30
Colorado                       06/27/20       877            742             22              15
Colorado                       07/04/20       788            682             25              23
Colorado                       07/11/20       815            692             28              21
Colorado                       07/18/20       808            683             43              31
Colorado                       07/25/20       833            707             33              27
Colorado                       08/01/20       813            701             36              29
Colorado                       08/08/20       841            723             39              34
Colorado                       08/15/20       836            710             28              23
Colorado                       08/22/20       863            735             19              15
Colorado                       08/29/20       817            708             29              24
Colorado                       09/05/20       743            637             20              17
Colorado                       09/12/20       850            748             33              27
Colorado                       09/19/20       804            700             21              20
Colorado                       09/26/20       838            722             24              17
Colorado                       10/03/20       782            689             35              28
Colorado                       10/10/20       801            691             38              34
Colorado                       10/17/20       867            779             41              34
Colorado                       10/24/20       869            776             62              57
Colorado                       10/31/20       907            828             96              86
Colorado                       11/07/20      1007            894            167             148
Colorado                       11/14/20      1040            941            228             197
Colorado                       11/21/20      1132           1029            267             230
Colorado                       11/28/20      1216           1117            348             306
Colorado                       12/05/20      1256           1148            448             390
Colorado                       12/12/20      1258           1155            428             366
Colorado                       12/19/20      1201           1116            402             351
Colorado                       12/26/20      1100           1013            308             266
Colorado                       01/02/21      1095            965            263             209
Colorado                       01/09/21      1080            966            211             177
Colorado                       01/16/21      1007            894            165             138
Colorado                       01/23/21       985            851            158             122
Colorado                       01/30/21       932            829            141             108
Colorado                       02/06/21       931            822            117              94
Colorado                       02/13/21       833            747            100              80
Colorado                       02/20/21       894            788             64              51
Colorado                       02/27/21       872            754             59              46
Colorado                       03/06/21       866            739             51              39
Colorado                       03/13/21       842            728             50              37
Colorado                       03/20/21       897            777             45              30
Colorado                       03/27/21       884            761             43              32
Colorado                       04/03/21       837            720             48              39
Colorado                       04/10/21       802            687             26              19
Colorado                       04/17/21       867            755             62              52
Colorado                       04/24/21       832            710             56              41
Colorado                       05/01/21       844            727             54              44
Colorado                       05/08/21       846            744             71              61
Colorado                       05/15/21       873            746             93              80
Colorado                       05/22/21       844            721             69              60
Colorado                       05/29/21       818            704             63              54
Colorado                       06/05/21       824            721             69              58
Colorado                       06/12/21       881            738             48              40
Colorado                       06/19/21       839            714             42              37
Colorado                       06/26/21       787            664             42              30
Colorado                       07/03/21       836            728             43              35
Colorado                       07/10/21       831            718             54              44
Colorado                       07/17/21       839            724             38              34
Colorado                       07/24/21       860            752             45              41
Colorado                       07/31/21       835            729             44              37
Colorado                       08/07/21       841            735             42              33
Colorado                       08/14/21       900            796             63              57
Colorado                       08/21/21       911            809             88              75
Colorado                       08/28/21       921            822             96              80
Colorado                       09/04/21       901            817            105              98
Colorado                       09/11/21       906            843            100              89
Colorado                       09/18/21       970            876            119             105
Colorado                       09/25/21       952            895            126             115
Colorado                       10/02/21      1020            947            150             145
Colorado                       10/09/21       960            897            167             146
Colorado                       10/16/21       997            917            147             137
Colorado                       10/23/21       975            852            175             157
Colorado                       10/30/21       836            581            163             146
Colorado                       11/06/21       629            269            128             116
Connecticut                    01/04/20       633            574              0               0
Connecticut                    01/11/20       631            576              0               0
Connecticut                    01/18/20       639            592              0               0
Connecticut                    01/25/20       653            598              0               0
Connecticut                    02/01/20       686            612              0               0
Connecticut                    02/08/20       652            598              0               0
Connecticut                    02/15/20       635            587              0               0
Connecticut                    02/22/20       653            598              0               0
Connecticut                    02/29/20       638            579              0               0
Connecticut                    03/07/20       625            565              0               0
Connecticut                    03/14/20       632            581              0               0
Connecticut                    03/21/20       665            609             11              10
Connecticut                    03/28/20       751            693             49              46
Connecticut                    04/04/20       891            824            215             208
Connecticut                    04/11/20      1260           1195            526             503
Connecticut                    04/18/20      1389           1328            686             659
Connecticut                    04/25/20      1338           1286            686             659
Connecticut                    05/02/20      1165           1114            576             548
Connecticut                    05/09/20      1052            992            468             443
Connecticut                    05/16/20       954            891            383             364
Connecticut                    05/23/20       823            768            284             258
Connecticut                    05/30/20       759            709            211             191
Connecticut                    06/06/20       669            611            120             104
Connecticut                    06/13/20       636            563             87              69
Connecticut                    06/20/20       581            526             44              35
Connecticut                    06/27/20       598            547             44              33
Connecticut                    07/04/20       553            500             24              18
Connecticut                    07/11/20       611            545             25              17
Connecticut                    07/18/20       569            496             15              12
Connecticut                    07/25/20       586            525             16              13
Connecticut                    08/01/20       555            479             10               0
Connecticut                    08/08/20       593            524              0               0
Connecticut                    08/15/20       574            532              0               0
Connecticut                    08/22/20       571            512              0               0
Connecticut                    08/29/20       532            492              0               0
Connecticut                    09/05/20       574            510              0               0
Connecticut                    09/12/20       571            513              0               0
Connecticut                    09/19/20       579            518             12              11
Connecticut                    09/26/20       644            574              0               0
Connecticut                    10/03/20       623            566             16              16
Connecticut                    10/10/20       637            567             16              13
Connecticut                    10/17/20       619            578             30              28
Connecticut                    10/24/20       683            615             32              30
Connecticut                    10/31/20       639            592             62              55
Connecticut                    11/07/20       727            660             67              58
Connecticut                    11/14/20       685            632             79              67
Connecticut                    11/21/20       759            698            130             121
Connecticut                    11/28/20       757            699            165             155
Connecticut                    12/05/20       844            780            217             203
Connecticut                    12/12/20       846            787            226             207
Connecticut                    12/19/20       871            819            253             231
Connecticut                    12/26/20       920            857            239             224
Connecticut                    01/02/21       914            854            298             275
Connecticut                    01/09/21       852            787            242             221
Connecticut                    01/16/21       863            798            249             219
Connecticut                    01/23/21       857            807            252             234
Connecticut                    01/30/21       822            761            185             168
Connecticut                    02/06/21       775            715            178             161
Connecticut                    02/13/21       726            671            144             130
Connecticut                    02/20/21       682            614             92              79
Connecticut                    02/27/21       671            620             81              73
Connecticut                    03/06/21       640            594             66              54
Connecticut                    03/13/21       643            586             64              52
Connecticut                    03/20/21       638            579             51              47
Connecticut                    03/27/21       658            590             46              38
Connecticut                    04/03/21       606            557             48              42
Connecticut                    04/10/21       574            505             39              37
Connecticut                    04/17/21       605            557             43              41
Connecticut                    04/24/21       604            544             51              46
Connecticut                    05/01/21       626            567             48              38
Connecticut                    05/08/21       622            553             38              36
Connecticut                    05/15/21       564            508             35              28
Connecticut                    05/22/21       592            509             18              16
Connecticut                    05/29/21       619            554             16              16
Connecticut                    06/05/21       554            493             10               0
Connecticut                    06/12/21       580            499             10               0
Connecticut                    06/19/21       569            508              0               0
Connecticut                    06/26/21       585            528              0               0
Connecticut                    07/03/21       595            534              0               0
Connecticut                    07/10/21       605            547              0               0
Connecticut                    07/17/21       577            504              0               0
Connecticut                    07/24/21       606            540              0               0
Connecticut                    07/31/21       565            509              0               0
Connecticut                    08/07/21       606            555             14              13
Connecticut                    08/14/21       642            575             27              25
Connecticut                    08/21/21       622            570             24              22
Connecticut                    08/28/21       617            581             39              33
Connecticut                    09/04/21       594            566             45              38
Connecticut                    09/11/21       597            573             38              37
Connecticut                    09/18/21       654            627             44              36
Connecticut                    09/25/21       635            622             44              42
Connecticut                    10/02/21       534            502             37              33
Connecticut                    10/09/21       411            334             29              23
Connecticut                    10/16/21       377            214             23              20
Connecticut                    10/23/21       326            189             30              28
Connecticut                    10/30/21       201            135             10               0
Connecticut                    11/06/21       145             39              0               0
Delaware                       01/04/20       199            179              0               0
Delaware                       01/11/20       194            171              0               0
Delaware                       01/18/20       190            170              0               0
Delaware                       01/25/20       190            173              0               0
Delaware                       02/01/20       183            167              0               0
Delaware                       02/08/20       191            169              0               0
Delaware                       02/15/20       202            183              0               0
Delaware                       02/22/20       194            170              0               0
Delaware                       02/29/20       164            147              0               0
Delaware                       03/07/20       200            190              0               0
Delaware                       03/14/20       189            173              0               0
Delaware                       03/21/20       221            195              0               0
Delaware                       03/28/20       188            174              0               0
Delaware                       04/04/20       214            196              0               0
Delaware                       04/11/20       219            206             25              24
Delaware                       04/18/20       229            213             43              41
Delaware                       04/25/20       285            267             65              60
Delaware                       05/02/20       251            234             76              73
Delaware                       05/09/20       271            248             65              65
Delaware                       05/16/20       276            257             81              77
Delaware                       05/23/20       222            213             51              48
Delaware                       05/30/20       226            204             51              47
Delaware                       06/06/20       182            154             25              25
Delaware                       06/13/20       200            178             22              16
Delaware                       06/20/20       162            142             14               0
Delaware                       06/27/20       201            182             10               0
Delaware                       07/04/20       201            175              0               0
Delaware                       07/11/20       194            170              0               0
Delaware                       07/18/20       191            176              0               0
Delaware                       07/25/20       201            178             10               0
Delaware                       08/01/20       195            173              0               0
Delaware                       08/08/20       197            178              0               0
Delaware                       08/15/20       189            162              0               0
Delaware                       08/22/20       194            176              0               0
Delaware                       08/29/20       190            171              0               0
Delaware                       09/05/20       208            181              0               0
Delaware                       09/12/20       198            183              0               0
Delaware                       09/19/20       161            144              0               0
Delaware                       09/26/20       202            187              0               0
Delaware                       10/03/20       202            181             13              12
Delaware                       10/10/20       203            185             12              12
Delaware                       10/17/20       203            187             17              13
Delaware                       10/24/20       215            200             20              17
Delaware                       10/31/20       195            182             25              24
Delaware                       11/07/20       199            179             16              16
Delaware                       11/14/20       172            160             18              13
Delaware                       11/21/20       232            215             24              20
Delaware                       11/28/20       199            181             28              25
Delaware                       12/05/20       231            217             42              35
Delaware                       12/12/20       277            250             52              45
Delaware                       12/19/20       281            265             69              60
Delaware                       12/26/20       289            271             77              71
Delaware                       01/02/21       285            270             71              62
Delaware                       01/09/21       276            252             66              63
Delaware                       01/16/21       287            264             79              68
Delaware                       01/23/21       284            262             90              82
Delaware                       01/30/21       265            240             65              58
Delaware                       02/06/21       262            245             51              41
Delaware                       02/13/21       234            216             51              43
Delaware                       02/20/21       205            196             22              19
Delaware                       02/27/21       213            193             25              23
Delaware                       03/06/21       217            192             22              17
Delaware                       03/13/21       204            185             24              22
Delaware                       03/20/21       228            213             12              12
Delaware                       03/27/21       206            187             10               0
Delaware                       04/03/21       159            141             11               0
Delaware                       04/10/21       190            173             19              14
Delaware                       04/17/21       206            192             22              15
Delaware                       04/24/21       209            187             10               0
Delaware                       05/01/21       204            182             16              11
Delaware                       05/08/21       192            171             12               0
Delaware                       05/15/21       202            179             11               0
Delaware                       05/22/21       212            180              0               0
Delaware                       05/29/21       199            178              0               0
Delaware                       06/05/21       172            158              0               0
Delaware                       06/12/21       192            171              0               0
Delaware                       06/19/21       167            151              0               0
Delaware                       06/26/21       205            184              0               0
Delaware                       07/03/21       197            173              0               0
Delaware                       07/10/21       174            154              0               0
Delaware                       07/17/21       168            156              0               0
Delaware                       07/24/21       179            162              0               0
Delaware                       07/31/21       179            158              0               0
Delaware                       08/07/21       183            159              0               0
Delaware                       08/14/21       238            217              0               0
Delaware                       08/21/21       217            202             19              16
Delaware                       08/28/21       200            183             18              17
Delaware                       09/04/21       196            179             20              20
Delaware                       09/11/21       215            202             27              23
Delaware                       09/18/21       206            196             38              36
Delaware                       09/25/21       233            229             32              30
Delaware                       10/02/21       212            197             28              23
Delaware                       10/09/21       196            185             31              29
Delaware                       10/16/21       204            187             19              18
Delaware                       10/23/21       211            182             31              29
Delaware                       10/30/21       168            125              0               0
Delaware                       11/06/21       106             13             15              13
District of Columbia           01/04/20       132            109              0               0
District of Columbia           01/11/20       128            102              0               0
District of Columbia           01/18/20       140            120              0               0
District of Columbia           01/25/20       131            115              0               0
District of Columbia           02/01/20       143            117              0               0
District of Columbia           02/08/20       131            112              0               0
District of Columbia           02/15/20       122            104              0               0
District of Columbia           02/22/20       104             89              0               0
District of Columbia           02/29/20       135            116              0               0
District of Columbia           03/07/20       118            102              0               0
District of Columbia           03/14/20       114            101              0               0
District of Columbia           03/21/20       129            112              0               0
District of Columbia           03/28/20       130            115              0               0
District of Columbia           04/04/20       156            139             25              25
District of Columbia           04/11/20       194            173             37              37
District of Columbia           04/18/20       202            175             59              59
District of Columbia           04/25/20       242            222             90              90
District of Columbia           05/02/20       215            185             75              74
District of Columbia           05/09/20       214            188             86              86
District of Columbia           05/16/20       185            168             71              71
District of Columbia           05/23/20       181            159             49              46
District of Columbia           05/30/20       169            144             42              42
District of Columbia           06/06/20       149            132             38              36
District of Columbia           06/13/20       147            124             30              30
District of Columbia           06/20/20       132            117             28              25
District of Columbia           06/27/20       130            104             19              18
District of Columbia           07/04/20       122             95             16              13
District of Columbia           07/11/20       138            111              0               0
District of Columbia           07/18/20       121            105             13              10
District of Columbia           07/25/20       123            100              0               0
District of Columbia           08/01/20       130            117             10               0
District of Columbia           08/08/20       118             91              0               0
District of Columbia           08/15/20       117            100              0               0
District of Columbia           08/22/20       113             88             11              10
District of Columbia           08/29/20       140            117              0               0
District of Columbia           09/05/20       143            115              0               0
District of Columbia           09/12/20       125            106              0               0
District of Columbia           09/19/20       109             88              0               0
District of Columbia           09/26/20       112             96              0               0
District of Columbia           10/03/20       138            112             10               0
District of Columbia           10/10/20       146            123             14              12
District of Columbia           10/17/20       118            103              0               0
District of Columbia           10/24/20       105             90              0               0
District of Columbia           10/31/20       128            112              0               0
District of Columbia           11/07/20       137            111             12               0
District of Columbia           11/14/20       130            107             10               0
District of Columbia           11/21/20       135            122             16              16
District of Columbia           11/28/20       120            104             15              12
District of Columbia           12/05/20       153            134             20              17
District of Columbia           12/12/20       175            148             21              19
District of Columbia           12/19/20       144            132             34              28
District of Columbia           12/26/20       165            145             40              36
District of Columbia           01/02/21       178            169             36              33
District of Columbia           01/09/21       173            145             37              33
District of Columbia           01/16/21       171            154             41              29
District of Columbia           01/23/21       163            133             37              22
District of Columbia           01/30/21       181            159             50              41
District of Columbia           02/06/21       164            136             43              31
District of Columbia           02/13/21       153            132             32              18
District of Columbia           02/20/21       167            145             23              17
District of Columbia           02/27/21       144            126             29              24
District of Columbia           03/06/21       134            117             22              17
District of Columbia           03/13/21       125            107             13               0
District of Columbia           03/20/21       145            120             10               0
District of Columbia           03/27/21       135            108             12              11
District of Columbia           04/03/21       126             98             16              14
District of Columbia           04/10/21       157            127             16              12
District of Columbia           04/17/21       121            103             19              16
District of Columbia           04/24/21       127            105             12              11
District of Columbia           05/01/21       121             98              0               0
District of Columbia           05/08/21       125            103              0               0
District of Columbia           05/15/21       125            105             14              10
District of Columbia           05/22/21       132            114             11              10
District of Columbia           05/29/21       119             96              0               0
District of Columbia           06/05/21       124            102              0               0
District of Columbia           06/12/21       139            117              0               0
District of Columbia           06/19/21       127            103              0               0
District of Columbia           06/26/21       115             97              0               0
District of Columbia           07/03/21       108             83              0               0
District of Columbia           07/10/21       149            130              0               0
District of Columbia           07/17/21       125            104              0               0
District of Columbia           07/24/21       134            101              0               0
District of Columbia           07/31/21       104             90              0               0
District of Columbia           08/07/21       126            109              0               0
District of Columbia           08/14/21       145            133              0               0
District of Columbia           08/21/21       131            121             13              12
District of Columbia           08/28/21       119            103             11              11
District of Columbia           09/04/21       130            113             13              12
District of Columbia           09/11/21       108            100              0               0
District of Columbia           09/18/21       126            115             10              10
District of Columbia           09/25/21       122            111              0               0
District of Columbia           10/02/21       119            112             12              12
District of Columbia           10/09/21       134            113              0               0
District of Columbia           10/16/21       107             98              0               0
District of Columbia           10/23/21        96             75              0               0
District of Columbia           10/30/21        82             50              0               0
District of Columbia           11/06/21        39              0              0               0
Florida                        01/04/20      4341           3928              0               0
Florida                        01/11/20      4410           3997              0               0
Florida                        01/18/20      4385           3992              0               0
Florida                        01/25/20      4387           4012              0               0
Florida                        02/01/20      4419           4033              0               0
Florida                        02/08/20      4385           4012              0               0
Florida                        02/15/20      4358           3952              0               0
Florida                        02/22/20      4416           3975              0               0
Florida                        02/29/20      4399           3990              0               0
Florida                        03/07/20      4520           4104              0               0
Florida                        03/14/20      4435           4003              0               0
Florida                        03/21/20      4362           3906             17              16
Florida                        03/28/20      4461           4039             93              91
Florida                        04/04/20      4497           4099            219             210
Florida                        04/11/20      4544           4128            305             288
Florida                        04/18/20      4416           4021            311             297
Florida                        04/25/20      4556           4132            326             294
Florida                        05/02/20      4352           3892            308             279
Florida                        05/09/20      4407           3948            290             257
Florida                        05/16/20      4279           3858            257             219
Florida                        05/23/20      4360           3893            236             200
Florida                        05/30/20      4211           3769            230             193
Florida                        06/06/20      4265           3829            223             172
Florida                        06/13/20      4256           3825            193             162
Florida                        06/20/20      4408           3958            221             192
Florida                        06/27/20      4504           4044            324             270
Florida                        07/04/20      4725           4276            466             410
Florida                        07/11/20      5084           4649            785             703
Florida                        07/18/20      5509           5058           1185            1064
Florida                        07/25/20      5704           5269           1416            1267
Florida                        08/01/20      5791           5356           1514            1362
Florida                        08/08/20      5585           5141           1405            1256
Florida                        08/15/20      5510           5049           1185            1058
Florida                        08/22/20      5203           4804            960             863
Florida                        08/29/20      5015           4598            808             725
Florida                        09/05/20      4758           4295            658             581
Florida                        09/12/20      4513           4062            525             461
Florida                        09/19/20      4667           4208            436             384
Florida                        09/26/20      4444           4023            424             361
Florida                        10/03/20      4346           3965            321             288
Florida                        10/10/20      4525           4085            338             291
Florida                        10/17/20      4389           3987            332             296
Florida                        10/24/20      4335           3935            292             262
Florida                        10/31/20      4265           3888            309             266
Florida                        11/07/20      4305           3859            304             268
Florida                        11/14/20      4487           4087            402             368
Florida                        11/21/20      4561           4136            406             358
Florida                        11/28/20      4634           4211            499             447
Florida                        12/05/20      4911           4472            594             527
Florida                        12/12/20      5085           4664            584             533
Florida                        12/19/20      4945           4592            659             595
Florida                        12/26/20      5137           4713            784             716
Florida                        01/02/21      5710           5257            950             855
Florida                        01/09/21      5498           5055           1066             971
Florida                        01/16/21      5923           5485           1239            1117
Florida                        01/23/21      5663           5205           1221            1123
Florida                        01/30/21      5490           5061           1070             954
Florida                        02/06/21      5569           5097           1039             946
Florida                        02/13/21      5459           4996            880             803
Florida                        02/20/21      5119           4661            730             647
Florida                        02/27/21      4893           4459            604             529
Florida                        03/06/21      4822           4368            525             462
Florida                        03/13/21      4637           4211            441             385
Florida                        03/20/21      4583           4120            397             351
Florida                        03/27/21      4732           4296            349             296
Florida                        04/03/21      4478           4035            361             321
